,id,title,popularity,release_date,vote_average,vote_count
0,278,The Shawshank Redemption,45.9678,1994-09-23,8.713,29430
1,238,The Godfather,35.303,1972-03-14,8.685,22214
2,240,The Godfather Part II,19.4904,1974-12-20,8.571,13434
3,424,Schindler's List,16.4358,1993-12-15,8.565,16946
4,389,12 Angry Men,12.4809,1957-04-10,8.549,9617
5,129,Spirited Away,23.1737,2001-07-20,8.533,17760
6,155,The Dark Knight,27.8207,2008-07-16,8.525,34908
7,19404,Dilwale Dulhania Le Jayenge,7.5818,1995-10-20,8.516,4533
8,497,The Green Mile,21.5143,1999-12-10,8.503,18665
9,496243,Parasite,25.9749,2019-05-30,8.495,19872
10,122,The Lord of the Rings: The Return of the King,30.6808,2003-12-17,8.492,25796
11,680,Pulp Fiction,24.7222,1994-09-10,8.486,29451
12,372058,Your Name.,22.9329,2016-08-26,8.48,12186
13,429,"The Good, the Bad and the Ugly",14.1832,1966-12-22,8.467,9310
14,157336,Interstellar,40.6451,2014-11-05,8.5,38492
15,13,Forrest Gump,23.841,1994-06-23,8.462,29029
16,769,GoodFellas,18.8334,1990-09-12,8.452,13872
17,346,Seven Samurai,10.7777,1954-04-26,8.452,4063
18,12477,Grave of the Fireflies,0.0112,1988-04-16,8.446,6252
19,637,Life Is Beautiful,7.9137,1997-12-20,8.441,13693
20,550,Fight Club,28.5398,1999-10-15,8.438,31164
21,14537,Harakiri,6.1886,1962-09-15,8.434,1140
22,11216,Cinema Paradiso,5.9793,1988-11-17,8.428,4679
23,120,The Lord of the Rings: The Fellowship of the Ring,34.2666,2001-12-18,8.427,26750
24,598,City of God,9.4557,2002-08-30,8.426,7919
25,667257,Impossible Things,5.4513,2021-06-17,8.425,418
26,539,Psycho,11.4271,1960-09-08,8.421,10691
27,40096,A Dog's Will,1.9162,2000-09-15,8.417,1194
28,510,One Flew Over the Cuckoo's Nest,8.3415,1975-11-19,8.412,11098
29,121,The Lord of the Rings: The Two Towers,30.2703,2002-12-18,8.411,23220
30,696374,Gabriel's Inferno,3.7096,2020-05-29,8.4,2438
31,255709,Hope,3.7937,2013-10-02,8.397,813
32,311,Once Upon a Time in America,9.697,1984-05-23,8.396,5824
33,324857,Spider-Man: Into the Spider-Verse,17.4999,2018-12-06,8.395,16706
34,1891,The Empire Strikes Back,8.3662,1980-05-20,8.393,17924
35,4935,Howl's Moving Castle,15.5793,2004-09-09,8.389,10694
36,378064,A Silent Voice: The Movie,9.7258,2016-09-17,8.385,4300
37,807,Se7en,18.9563,1995-09-22,8.379,22410
38,423,The Pianist,9.5438,2002-09-17,8.379,9817
39,244786,Whiplash,15.7098,2014-10-10,8.4,16155
40,27205,Inception,30.9094,2010-07-15,8.371,38420
41,770156,Lucy Shimmers and the Prince of Peace,3.2371,2020-10-19,8.37,331
42,724089,Gabriel's Inferno: Part II,1.2329,2020-07-31,8.4,1534
43,761053,Gabriel's Inferno: Part III,3.6421,2020-11-19,8.36,1072
44,1058694,Radical,2.2055,2023-10-19,8.35,484
45,567,Rear Window,6.2263,1954-09-01,8.348,6930
46,274,The Silence of the Lambs,3.8333,1991-02-14,8.345,17385
47,12493,High and Low,4.3235,1963-03-01,8.343,1059
48,569094,Spider-Man: Across the Spider-Verse,28.1148,2023-05-31,8.338,8127
49,73,American History X,6.8473,1998-07-01,8.33,12220
50,128,Princess Mononoke,11.5699,1997-07-12,8.323,8662
51,820067,The Quintessential Quintuplets Movie,3.1015,2022-05-20,8.322,427
52,105,Back to the Future,23.8284,1985-07-03,8.322,21210
53,620249,The Legend of Hei,5.6617,2019-08-27,8.319,429
54,1184918,The Wild Robot,20.6876,2024-09-12,8.318,5594
55,3782,Ikiru,5.894,1952-10-09,8.317,1265
56,372754,Dou kyu sei – Classmates,2.231,2016-02-20,8.3,420
57,207,Dead Poets Society,11.7925,1989-06-02,8.302,12133
58,10494,Perfect Blue,8.0273,1998-02-28,8.299,3010
59,101,Léon: The Professional,14.4317,1994-09-14,8.299,15647
60,15804,A Brighter Summer Day,3.3137,1991-07-27,8.3,366
61,533514,Violet Evergarden: The Movie,3.7296,2020-09-18,8.295,474
62,1218925,Chainsaw Man - The Movie: Reze Arc,76.0033,2025-09-19,8.3,535
63,652837,"Josee, the Tiger and the Fish",3.3967,2020-12-25,8.292,553
64,914,The Great Dictator,3.2497,1940-10-15,8.288,3575
65,599,Sunset Boulevard,4.8542,1950-08-10,8.289,2817
66,644479,Dedicated to my ex,0.525,2019-11-01,8.3,513
67,42269,We All Loved Each Other So Much,1.3478,1974-12-21,8.285,628
68,3082,Modern Times,3.2594,1936-02-05,8.284,3941
69,335,Once Upon a Time in the West,8.7804,1968-12-21,8.283,4716
70,1139087,Once Upon a Studio,3.7786,2023-09-24,8.3,410
71,1356039,Counterattack,9.2287,2025-02-27,8.277,771
72,1585,It's a Wonderful Life,18.8363,1946-12-20,8.3,4708
73,77338,The Intouchables,13.9276,2011-11-02,8.271,18026
74,18491,Neon Genesis Evangelion: The End of Evangelion,7.5879,1997-07-19,8.3,1760
75,1186532,The Forge,4.571,2024-08-22,8.268,311
76,28,Apocalypse Now,9.2215,1979-05-19,8.268,8784
77,92321,Hotarubi no Mori e,0.0044,2011-09-17,8.268,1188
78,901,City Lights,2.8706,1931-02-06,8.263,2365
79,975,Paths of Glory,5.8262,1957-10-25,8.26,3155
80,632632,Given,1.8354,2020-08-22,8.3,410
81,8587,The Lion King,19.1114,1994-06-15,8.3,19235
82,637920,Miracle in Cell No. 7,6.5844,2019-10-10,8.255,4507
83,10376,The Legend of 1900,3.6496,1998-10-28,8.246,2376
84,572154,Rascal Does Not Dream of a Dreaming Girl,2.7765,2019-06-15,8.245,570
85,670,Oldboy,13.0168,2003-11-21,8.2,9424
86,654299,Out of the Clear Blue Sky,0.6742,2019-12-24,8.242,372
87,504253,I Want to Eat Your Pancreas,6.0209,2018-09-01,8.241,1702
88,447362,Life in a Year,3.3126,2020-11-27,8.24,1949
89,29259,Le Trou,2.6373,1960-03-18,8.239,537
90,630566,Clouds,3.6261,2020-10-09,8.2,1039
91,299534,Avengers: Endgame,27.3646,2019-04-24,8.237,27065
92,603,The Matrix,25.0591,1999-03-31,8.237,27153
93,299536,Avengers: Infinity War,31.3486,2018-04-25,8.235,31278
94,568332,Taylor Swift: Reputation Stadium Tour,1.1858,2018-12-31,8.233,417
95,508965,Klaus,14.3235,2019-11-08,8.228,4488
96,490132,Green Book,12.1589,2018-11-16,8.224,12459
97,24188,Il Sorpasso,3.9197,1962-12-05,8.223,817
98,527641,Five Feet Apart,5.6322,2019-03-14,8.2,5835
99,92060,Michael Jackson's Thriller,2.5194,1983-11-14,8.221,730
100,857,Saving Private Ryan,14.4101,1998-07-24,8.221,16744
101,98,Gladiator,18.0389,2000-05-04,8.2,20343
102,265177,Mommy,4.6256,2014-09-19,8.2,2801
103,110420,Wolf Children,4.4218,2012-07-21,8.217,2405
104,25237,Come and See,7.5263,1985-10-17,8.216,1719
105,16869,Inglourious Basterds,16.3243,2009-08-02,8.215,23536
106,1160164,TAYLOR SWIFT | THE ERAS TOUR,3.5001,2023-10-13,8.214,499
107,37257,Witness for the Prosecution,3.3607,1957-12-17,8.214,1590
108,995133,"The Boy, the Mole, the Fox and the Horse",3.2104,2022-12-25,8.211,681
109,618344,Justice League Dark: Apokolips War,2.6764,2020-05-05,8.21,1530
110,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,12.3895,2020-10-16,8.208,4350
111,315162,Puss in Boots: The Last Wish,15.9274,2022-12-07,8.207,8549
112,1124,The Prestige,12.8703,2006-10-17,8.206,17062
113,694,The Shining,14.6309,1980-05-23,8.206,18439
114,50014,The Help,9.6044,2011-08-09,8.205,8794
115,16672,Woman in the Dunes,3.2036,1964-02-15,8.2,500
116,11324,Shutter Island,16.7544,2010-02-14,8.2,25187
117,11,Star Wars,29.3595,1977-05-25,8.202,21771
118,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,5.5728,2021-03-08,8.201,896
119,354912,Coco,16.3896,2017-10-27,8.2,20519
120,441130,Wolfwalkers,6.3494,2020-10-26,8.197,1320
121,284,The Apartment,6.7045,1960-06-21,8.2,2530
